"InvoiceNo","InvoiceDate","Country"
"539993",2011-01-04 10:00:00,"United Kingdom"
"539993",2011-01-04 10:00:00,"United Kingdom"
"539993",2011-01-04 10:00:00,"United Kingdom"
"539993",2011-01-04 10:00:00,"United Kingdom"
"539993",2011-01-04 10:00:00,"United Kingdom"
"539993",2011-01-04 10:00:00,"United Kingdom"
"539993",2011-01-04 10:00:00,"United Kingdom"
"539993",2011-01-04 10:00:00,"United Kingdom"
"539993",2011-01-04 10:00:00,"United Kingdom"
"539993",2011-01-04 10:00:00,"United Kingdom"
"539993",2011-01-04 10:00:00,"United Kingdom"
"539993",2011-01-04 10:00:00,"United Kingdom"
"539993",2011-01-04 10:00:00,"United Kingdom"
"539993",2011-01-04 10:00:00,"United Kingdom"
"539993",2011-01-04 10:00:00,"United Kingdom"
"539993",2011-01-04 10:00:00,"United Kingdom"
"539993",2011-01-04 10:00:00,"United Kingdom"
"539994",2011-01-04 10:09:00,"United Kingdom"
"539995",2011-01-04 10:12:00,"United Kingdom"
"539996",2011-01-04 10:12:00,"United Kingdom"
"539997",2011-01-04 10:15:00,"United Kingdom"
"539998",2011-01-04 10:16:00,"United Kingdom"
"539999",2011-01-04 10:16:00,"United Kingdom"
"540000",2011-01-04 10:17:00,"United Kingdom"
"540001",2011-01-04 10:22:00,"United Kingdom"
"540001",2011-01-04 10:22:00,"United Kingdom"
"540001",2011-01-04 10:22:00,"United Kingdom"
"540001",2011-01-04 10:22:00,"United Kingdom"
"540001",2011-01-04 10:22:00,"United Kingdom"
"540001",2011-01-04 10:22:00,"United Kingdom"
"540001",2011-01-04 10:22:00,"United Kingdom"
"540001",2011-01-04 10:22:00,"United Kingdom"
"540001",2011-01-04 10:22:00,"United Kingdom"
"540002",2011-01-04 10:23:00,"United Kingdom"
"540002",2011-01-04 10:23:00,"United Kingdom"
"540002",2011-01-04 10:23:00,"United Kingdom"
"540002",2011-01-04 10:23:00,"United Kingdom"
"540003",2011-01-04 10:37:00,"United Kingdom"
"540003",2011-01-04 10:37:00,"United Kingdom"
"540003",2011-01-04 10:37:00,"United Kingdom"
"540003",2011-01-04 10:37:00,"United Kingdom"
"540003",2011-01-04 10:37:00,"United Kingdom"
"540003",2011-01-04 10:37:00,"United Kingdom"
"540003",2011-01-04 10:37:00,"United Kingdom"
"540003",2011-01-04 10:37:00,"United Kingdom"
"540003",2011-01-04 10:37:00,"United Kingdom"
"540003",2011-01-04 10:37:00,"United Kingdom"
"540003",2011-01-04 10:37:00,"United Kingdom"
"540003",2011-01-04 10:37:00,"United Kingdom"
"540003",2011-01-04 10:37:00,"United Kingdom"
"540003",2011-01-04 10:37:00,"United Kingdom"
"540003",2011-01-04 10:37:00,"United Kingdom"
"540003",2011-01-04 10:37:00,"United Kingdom"
"540003",2011-01-04 10:37:00,"United Kingdom"
"540003",2011-01-04 10:37:00,"United Kingdom"
"540003",2011-01-04 10:37:00,"United Kingdom"
"540003",2011-01-04 10:37:00,"United Kingdom"
"540003",2011-01-04 10:37:00,"United Kingdom"
"540003",2011-01-04 10:37:00,"United Kingdom"
"540004",2011-01-04 10:37:00,"United Kingdom"
"540005",2011-01-04 10:38:00,"United Kingdom"
"540005",2011-01-04 10:38:00,"United Kingdom"
"540005",2011-01-04 10:38:00,"United Kingdom"
"540005",2011-01-04 10:38:00,"United Kingdom"
"540005",2011-01-04 10:38:00,"United Kingdom"
"540005",2011-01-04 10:38:00,"United Kingdom"
"540005",2011-01-04 10:38:00,"United Kingdom"
"540005",2011-01-04 10:38:00,"United Kingdom"
"540005",2011-01-04 10:38:00,"United Kingdom"
"540005",2011-01-04 10:38:00,"United Kingdom"
"540005",2011-01-04 10:38:00,"United Kingdom"
"540005",2011-01-04 10:38:00,"United Kingdom"
"540005",2011-01-04 10:38:00,"United Kingdom"
"540005",2011-01-04 10:38:00,"United Kingdom"
"540005",2011-01-04 10:38:00,"United Kingdom"
"540005",2011-01-04 10:38:00,"United Kingdom"
"C540006",2011-01-04 10:48:00,"United Kingdom"
"C540006",2011-01-04 10:48:00,"United Kingdom"
"C540006",2011-01-04 10:48:00,"United Kingdom"
"C540007",2011-01-04 11:08:00,"United Kingdom"
"C540007",2011-01-04 11:08:00,"United Kingdom"
"540008",2011-01-04 11:10:00,"United Kingdom"
"540009",2011-01-04 11:10:00,"United Kingdom"
"540010",2011-01-04 11:13:00,"United Kingdom"
"540011",2011-01-04 11:13:00,"United Kingdom"
"540012",2011-01-04 11:14:00,"United Kingdom"
"540013",2011-01-04 11:30:00,"United Kingdom"
"540013",2011-01-04 11:30:00,"United Kingdom"
"540013",2011-01-04 11:30:00,"United Kingdom"
"540013",2011-01-04 11:30:00,"United Kingdom"
"540013",2011-01-04 11:30:00,"United Kingdom"
"540013",2011-01-04 11:30:00,"United Kingdom"
"540013",2011-01-04 11:30:00,"United Kingdom"
"540013",2011-01-04 11:30:00,"United Kingdom"
"540013",2011-01-04 11:30:00,"United Kingdom"
"540013",2011-01-04 11:30:00,"United Kingdom"
"540013",2011-01-04 11:30:00,"United Kingdom"
"540013",2011-01-04 11:30:00,"United Kingdom"
"540013",2011-01-04 11:30:00,"United Kingdom"
"540013",2011-01-04 11:30:00,"United Kingdom"
"540013",2011-01-04 11:30:00,"United Kingdom"
"540013",2011-01-04 11:30:00,"United Kingdom"
"540013",2011-01-04 11:30:00,"United Kingdom"
"540013",2011-01-04 11:30:00,"United Kingdom"
"540013",2011-01-04 11:30:00,"United Kingdom"
"540013",2011-01-04 11:30:00,"United Kingdom"
"540013",2011-01-04 11:30:00,"United Kingdom"
"540013",2011-01-04 11:30:00,"United Kingdom"
"540013",2011-01-04 11:30:00,"United Kingdom"
"540013",2011-01-04 11:30:00,"United Kingdom"
"540013",2011-01-04 11:30:00,"United Kingdom"
"540013",2011-01-04 11:30:00,"United Kingdom"
"540013",2011-01-04 11:30:00,"United Kingdom"
"540013",2011-01-04 11:30:00,"United Kingdom"
"540013",2011-01-04 11:30:00,"United Kingdom"
"540013",2011-01-04 11:30:00,"United Kingdom"
"540013",2011-01-04 11:30:00,"United Kingdom"
"540013",2011-01-04 11:30:00,"United Kingdom"
"540013",2011-01-04 11:30:00,"United Kingdom"
"540013",2011-01-04 11:30:00,"United Kingdom"
"540014",2011-01-04 11:34:00,"United Kingdom"
